dateok,dwell00
2017-12-02 11:11:00,7
2017-12-02 11:11:20,9
2017-12-02 11:11:40,21
2017-12-02 11:11:50,11
2017-12-02 11:12:20,1
2017-12-02 11:12:40,0
2017-12-02 11:12:50,4
2017-12-02 11:13:10,9
2017-12-02 11:13:20,3
2017-12-02 11:13:40,1
2017-12-02 11:13:50,1
2017-12-02 11:14:00,7
2017-12-02 11:14:10,0
2017-12-02 11:14:20,7
2017-12-02 11:14:30,3
2017-12-02 11:14:50,4
2017-12-02 11:15:00,4
2017-12-02 11:15:10,9
2017-12-02 11:15:50,5
2017-12-02 11:16:00,16
2017-12-02 11:16:10,0
2017-12-02 11:16:30,69
2017-12-02 11:16:40,4
2017-12-02 11:16:50,0
2017-12-02 11:17:00,6
2017-12-02 11:17:10,3
2017-12-02 11:17:30,0
2017-12-02 11:17:40,27
2017-12-02 11:17:50,84
2017-12-02 11:18:10,3
2017-12-02 11:18:50,10
2017-12-02 11:19:00,1
2017-12-02 11:19:10,6
2017-12-02 11:19:20,4
2017-12-02 11:19:40,5
2017-12-02 11:20:20,8
2017-12-02 11:20:30,188
2017-12-02 11:21:00,0
2017-12-02 11:21:10,6
2017-12-02 11:21:20,24
2017-12-02 11:21:30,9
2017-12-02 11:21:40,2
2017-12-02 11:22:00,8
2017-12-02 11:22:10,36
2017-12-02 11:22:30,1
2017-12-02 11:22:40,2
2017-12-02 11:23:10,2
2017-12-02 11:23:20,10
2017-12-02 11:23:30,2
2017-12-02 11:23:50,1
2017-12-02 11:24:00,5
2017-12-02 11:24:10,2
2017-12-02 11:24:30,1
2017-12-02 11:24:50,0
2017-12-02 11:25:30,6
2017-12-02 11:25:50,0
2017-12-02 11:26:00,4
2017-12-02 11:26:10,1
2017-12-02 11:26:20,5
2017-12-02 11:26:30,20
2017-12-02 11:26:50,83
2017-12-02 11:27:00,2
2017-12-02 11:27:20,7
2017-12-02 11:27:30,2
2017-12-02 11:27:40,2
2017-12-02 11:27:50,1
2017-12-02 11:28:00,1
2017-12-02 11:28:10,0
2017-12-02 11:28:20,5
2017-12-02 11:28:40,56
2017-12-02 11:29:00,16
2017-12-02 11:29:10,16
2017-12-02 11:29:30,3
2017-12-02 11:30:00,0
2017-12-02 11:30:30,0
2017-12-02 11:30:40,5
2017-12-02 11:30:50,4
2017-12-02 11:31:40,17
2017-12-02 11:31:50,0
2017-12-02 11:32:00,17
2017-12-02 11:32:10,2
2017-12-02 11:32:20,10
2017-12-02 11:32:40,1
2017-12-02 11:32:50,10
2017-12-02 11:33:00,11
2017-12-02 11:33:10,6
2017-12-02 11:33:20,7
2017-12-02 11:33:50,0
2017-12-02 11:34:10,1
2017-12-02 11:34:20,1
2017-12-02 11:34:40,4
2017-12-02 11:34:50,2
2017-12-02 11:35:20,0
2017-12-02 11:35:50,5
